hotel_name,hotel_aliases,area,manage_corp,brand,brand_child,city,city_level,brand_level,builder,is_active,notes
重庆万州希尔顿逸林,,西南区,,国际品牌,希尔顿,重庆,新一线城市,高端四星级,原万达,1,db_enriched_from_dim_and_overview
重庆假日,,西南区,,国际品牌,洲际,重庆,新一线城市,高端四星级,自建,1,db_enriched_from_dim_and_overview
重庆凯悦,,西南区,,国际品牌,凯悦,重庆,新一线城市,标准五星级,自建,1,db_enriched_from_dim_and_overview
重庆艾美,,西南区,,国际品牌,万豪,重庆,新一线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
金华嘉华,,华东区,万达品牌,万达,嘉华,金华,二线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
银川嘉华,,西北区,万达品牌,万达,嘉华,银川,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
镇江富力喜来登酒店,,华东区,国际品牌,国际品牌,万豪,镇江,,,原万达,1,db_enriched_from_dim_and_overview
长春文华,,东北区,万达品牌,万达,文华,长春,二线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
长沙文华,,中南区,万达品牌,万达,文华,长沙,新一线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
阜阳嘉华,,华东区,万达品牌,万达,嘉华,阜阳,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
青岛艾美,,华北区,,国际品牌,万豪,青岛,新一线城市,标准五星级,原万达,1,db_enriched_from_dim_and_overview
香水湾富力万豪度假酒店,,海南区,国际品牌,国际品牌,万豪,陵水黎族自治,,,自建,1,db_enriched_from_dim_and_overview
马鞍山嘉华,,华东区,万达品牌,万达,嘉华,马鞍山,三线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
黄石嘉华,,中南区,万达品牌,万达,嘉华,黄石,四线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
齐齐哈尔嘉华,,东北区,万达品牌,万达,嘉华,齐齐哈尔,四线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
龙岩嘉华,,中南区,万达品牌,万达,嘉华,龙岩,四线城市,准五星级,原万达,1,db_enriched_from_dim_and_overview
龙门希尔顿,,华南区,,国际品牌,希尔顿,惠州,二线城市,标准五星级,自建,1,db_enriched_from_dim_and_overview
